domain,resolves,http_status,https_status,redirect_url
actor.hm,True,200,200,
actorsimdb.info,True,200,,https://www.safebrowse.io/warn.html?url=http://actorsimdb.info/&token=69c983de
acumuladores.es,True,200,200,
acupunturabasoa.es,True,200,200,https://acupunturabasoa.es/
acx.com,True,200,200,https://www.acx.com:443/
adaia.es,True,200,200,https://adaia.es/
adanderefrigeration.es,True,200,200,
adapt-agency.ch,True,200,200,https://www.adapt-agency.ch/
adelaidagonzalez.es,True,200,200,https://adelaidagonzalez.es/
aderagroup.ch,True,200,200,https://aderagroup.com/
adgitransformadores.es,True,200,200,https://adgitransformadores.es/
adhd-expert.ch,True,200,200,https://adhd-expert.ch/
adhikariprajwal.info.np,True,200,200,https://adhikariprajwal.info.np/
adhocubersetzungsburo.ch,True,200,200,
adhs-coaching-arlesheim.ch,True,200,200,https://www.adhs-coaching-arlesheim.ch/
adible.com,True,200,200,https://www.audible.com:443/
adirawines.es,True,200,200,https://adirawines.es/
adlune.ch,True,200,200,https://adlune.ch/
admazon.com,True,202,202,https://www.amazon.com:443/
administrativaonline.es,True,200,200,
adminor.es,True,404,404,
admirable.es,True,200,200,
adnempresa.es,True,,,
adoptionresearch.ch,True,200,200,https://www.adoptionsforschung.ch/
adria-tours.ba,True,,,
adriannapapellplatinum.es,True,200,200,
adsamazon.com,True,200,,https://advertising.amazon.com/
adsamazon.fr,True,200,,https://advertising.amazon.com/fr-fr
adsamazon.it,True,200,,https://advertising.amazon.com/it-it
adsgoogle.cf,True,200,,
adsgoogle.ps,True,200,,
adspace.ch,True,200,200,https://adspace.ch/
advanzforlife.ch,True,200,200,
advanzo.ch,True,200,200,https://advanzo.ch/
adventuregame.ch,True,200,200,
advertisewithamazon.fr,True,200,,https://advertising.amazon.com/fr-fr
advertisingamazon.fr,True,200,,https://advertising.amazon.com/fr-fr
advertisingamazon.it,True,200,,https://advertising.amazon.com/it-it
advokaturgemeinschaft.ch,True,200,200,https://www.advokaturgemeinschaft.ch/
aebyreinigungen.ch,True,200,200,https://www.aebyreinigungen.ch/
aegeri-honig.ch,True,200,200,https://aegeri-honig.ch/
aelia-collective.ch,True,200,200,https://www.aelia-collective.ch/
aepoxy.es,True,,,
aerocop.es,True,200,200,
aerogenie.ch,True,200,200,https://aerogenie.ch/
aeronautsjourney.com,True,404,404,
aerosol.ch,True,,,
aerotaxi.gr,True,200,200,https://aerotaxi.gr/en-gb
aeroterm.ch,True,308,200,https://www.aeroterm.ch/
aerotor.es,True,200,200,
aerstudio.ch,True,200,200,https://www.aerstudio.ch/
aeskulap-praxis.ch,True,200,200,https://aeskulap-praxis.ch/
aesthetics-by-angela.ch,True,200,200,https://www.aesthetics-by-angela.ch/
aesworkshops.com,True,200,200,https://aesworkshops.com/
aeternal.ch,True,200,200,https://aeternal.ch/
afconecta.es,True,200,200,https://afconecta.es/
afectadosjuicyfields.es,True,200,200,https://afectadosjuicyfields.es/
afeitados.es,True,200,200,
affiliateamazon.at,True,200,,https://www.amazon.de/
affiliateamazon.co.at,True,200,,https://www.amazon.de/
affiliateamazon.fr,True,202,,https://www.amazon.fr/
affiliateamazon.it,True,202,,https://www.amazon.it/
affiliationamazon.fr,True,202,,https://www.amazon.fr/
affiliazioneamazon.it,True,202,,https://www.amazon.it/
affix.com.lk,True,200,200,
affixed.ch,True,200,200,https://affixed.ch/
afntreuhand.ch,True,200,200,https://afntreuhand.ch/
afoicharalampous.gr,True,200,200,https://www.afoicharalampous.gr/
afrashop.es,True,200,200,https://afrashop.es/
afrodita.es,True,200,200,
afroditanails.es,True,200,200,https://afroditanails.es/
afterschool.com,True,,,
ag-asesores.es,True,200,200,https://www.ag-asesores.es/
agencedurhone.ch,True,200,200,https://agencedurhone.ch/
agencia-bull.es,True,200,200,https://agencia-bull.es/
agenciaamazonia.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
agenciatiktokshop.es,True,200,200,https://agenciatiktokshop.es/
agenciaurbana.es,True,200,200,https://agenciaurbana.es/
agency-x.es,True,200,200,https://agency-x.es/
agencyoil.es,True,200,200,
agent-factory-demo.gr,True,404,404,
agentedeseguros.es,True,200,200,
agentic-community.ai,True,200,,
agentic-community.com,True,200,200,https://agentic-community.com/
agenticcommunity.ai,True,200,,
agentics.es,True,200,200,
aggrocritic.com,True,403,403,
agiko.ch,True,200,200,https://agiko.ch/
agiosvotanikos.gr,True,200,200,https://www.agiosvotanikos.gr/
agogos.es,True,200,200,
agprojectconsulting.es,True,200,200,https://agprojectconsulting.es/
agragency.es,True,405,,
agreatlisteneverytime.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
agrisolar.gr,True,200,200,https://agrisolar.gr/en-gb
agroempleo.es,True,200,200,
agroguadiana.es,True,200,200,
agrorent.ch,True,200,200,
agrospherespain.es,True,200,200,https://agrospherespain.es/
agrupacion.es,True,200,,
aguacatexpres.es,True,200,200,
ahypestudio.ch,True,200,200,https://ahypestudio.ch/
ai-care.bot,True,200,,
ai-marketing-agentur.ch,True,200,200,
aiamazon.com,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
aiazonaws.com,True,200,,https://aws.amazon.com:443/
aibet.es,True,200,200,https://domains.atom.com/lpd/name/aibet.es
aibot.gr,True,200,200,
aicare-onemedical.com,True,200,,
aicare.bot,True,200,,
aicarepharmacy.bot,True,200,,
aichaevanslawsuit.com,True,200,,
aichaevanslawsuit.info,True,200,,
aichaevanslawsuit.net,True,200,,
aichaevanslawsuit.org,True,200,,
aiclub.ch,True,200,,https://buy.nameshift.com/aiclub.ch/en-gb
aicoach.gr,True,200,200,https://aicoach.gr/en-gb
aidesigner.ch,True,200,200,
aiemprende.es,True,200,200,
aiforge.ch,True,,,
aifree.gr,True,200,200,https://aifree.gr/en-gb
aihub.al,True,200,200,https://www.aihub.al/
ailaodao.cf,True,308,404,
aimusic.es,True,200,200,https://aimusic.es/en-gb
ainud.es,True,200,200,
air.to,True,200,200,
airballooncostadelsol.es,True,200,200,
airballooneurope.es,True,200,200,
airballoonibiza.es,True,200,200,
airballoonpalma.es,True,200,200,
airballoonvalencia.es,True,200,200,
airbot.jp,True,200,,
aircap.es,True,200,200,
aircharge.es,True,200,200,
airesacondicionados.com.es,True,200,200,
airflights.es,True,200,200,
airgox.es,True,200,200,
airin.ch,True,200,200,https://airin.ch/
airoadmap.ch,True,403,403,
airoyale.ch,True,,200,
airprime.at,True,200,,https://www.amazon.de/
airprime.co.in,True,200,,https://www.amazon.in/
airprime.fr,True,202,,https://www.amazon.fr/
airprime.info,True,200,,https://www.amazon.com/b?node=206533607011
airprime.it,True,202,,https://www.amazon.it/
airprime.net,True,200,,https://www.amazon.com/b?node=206533607011
airprime.org,True,200,,https://www.amazon.com/b?node=206533607011
airsealand.es,True,,200,
aischool.es,True,,200,
aisora.es,True,,200,
aistori.es,True,200,200,https://aistori.es/
aital.es,True,200,200,https://aital.es/
aivf.in,True,200,200,https://aivf.in/
aivote.ch,True,200,200,
aixira.es,True,405,,
aixperience.es,True,200,,
ajax.org,True,,,
ajazon.at,True,200,,https://www.amazon.de/
ajazon.com,True,202,202,https://www.amazon.com:443/
ajazon.fr,True,202,,https://www.amazon.fr/
ajazon.it,True,202,,https://www.amazon.it/
ajazon.net,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
ajmultiservices.es,True,,404,
akademie8.ch,True,200,200,https://akademie8.ch/
akapulco.es,True,200,200,https://akapulco.es/
akazon.at,True,200,,https://www.amazon.de/
akazon.com,True,202,202,https://www.amazon.com:443/
akazon.fr,True,202,,https://www.amazon.fr/
akazon.it,True,202,,https://www.amazon.it/
akazon.net,True,200,,https://www.amazon.com/ref=as_li_ss_tl?_encoding=UTF8&camp=1789&creative=390957&linkCode=ur2&tag=amznipops-20&linkId=VETEOIMPO7O4WRWZ
akazona.com,True,202,202,https://www.amazon.com:443/
akimbo-coiffure.ch,True,200,200,https://www.coiffureakimbo.ch/
akiva.es,True,200,200,https://akiva.es/
akmazon.it,True,202,,https://www.amazon.it/
akogcreations.es,True,200,200,https://akogcreations.es/
akoumetousneous.gr,True,200,200,https://akoumetousneous.gr/
aktien-forum.ch,True,200,200,
alabama.ch,True,,,
alabs.net,True,,,
alaniq.com.iq,True,200,200,https://alaniq.com.iq/
alazon.at,True,200,,https://www.amazon.de/
alazon.com,True,202,202,https://www.amazon.com:443/
alazon.it,True,202,,https://www.amazon.it/
alazonaws.com,True,200,,https://aws.amazon.com:443/
albacetebiblica.es,True,200,200,https://albacetebiblica.es/
albadesign.es,True,200,200,https://albadesign.es/
albagroup.es,True,,,
albararyiq.com.iq,True,200,200,
albert-gallegos.ch,True,200,200,https://albert-gallegos.ch/
albertojosegonzalezch.es,True,,,
albertschool.ch,True,200,200,https://www.albertschool.com/
albiart.es,True,404,404,
aldahra.es,True,200,200,https://aldahra.es/
aldawenner.ch,True,,,
alduha-plastic.iq,True,200,200,https://alduha-plastic.com/
alen.com.np,True,,200,
alertamascota.es,True,200,200,https://alertamascota.es/
alessandramastrodomenico.ch,True,,,
alexa-agent.com,True,200,,
alexa-frame.com,True,200,,https://www.amazon.com/b?ie=UTF8&node=116898096011
alexa-internet.it,True,202,,https://www.amazon.it/
alexa-live.com,True,200,,https://developer.amazon.com/en-US/alexa/alexa-live
alexa.bayern,True,200,,https://www.amazon.de/gp/browse.html?node=14100226031
alexa.career,True,404,,
alexa.click,True,200,,https://alexa.amazon.com/about
alexa.cloud,True,200,,https://developer.amazon.com/en-US/alexa
alexa.club,True,200,,https://alexa.amazon.com/about
alexa.com,True,200,200,https://alexa.amazon.com/about
alexa.cooking,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexa.cyou,True,200,,https://www.amazon.com/b?node=21576558011
alexa.dealer,True,200,,https://www.amazon.com/b?node=21576558011
alexa.desi,True,200,,https://alexa.amazon.com/about
alexa.design,True,200,200,https://developer.amazon.com/en-US/alexa
alexa.diet,True,200,,https://alexa.amazon.com/about
alexa.earth,True,200,,https://developer.amazon.com/en-US/alexa
alexa.fashion,True,200,,https://alexa.amazon.com/about
alexa.foundation,True,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexa.gives,True,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexa.help,True,200,,https://alexa.amazon.com/about
alexa.horse,True,200,,https://alexa.amazon.com/about
alexa.hosting,True,200,,https://alexa.amazon.com/about
alexa.in,True,,,
alexa.lat,True,200,,https://alexa.amazon.com/about
alexa.love,True,200,,https://alexa.amazon.com/about
alexa.men,True,200,,https://alexa.amazon.com/about
alexa.miami,True,200,,https://alexa.amazon.com/about
alexa.online,True,404,,
alexa.ooo,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexa.party,True,200,,https://alexa.amazon.com/about
alexa.property,True,200,,https://alexa.amazon.com/about
alexa.qpon,True,200,,https://www.amazon.com/events/memorialdaysale?bubble-id=deals-collection-coupons
alexa.radio,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexa.rent,True,200,,https://alexa.amazon.com/about
alexa.review,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexa.ruhr,True,200,,https://alexa.amazon.com/about
alexa.site,True,404,,
alexa.study,True,200,,https://alexa.amazon.com/about
alexa.surf,True,200,,https://alexa.amazon.com/about
alexa.taipei,True,200,,https://alexa.amazon.com/about
alexa.tech,True,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexa.vodka,True,200,,https://alexa.amazon.com/about
alexa.wiki,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexa.xyz,True,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexaanswers.it,True,500,,
alexabuild-it.com,True,200,,https://www.amazon.com/b?node=21601403011
alexacare.info,True,200,,https://www.amazon.com/dp/B0BZSZBK3T
alexacare.net,True,200,,https://www.amazon.com/dp/B0BZSZBK3T
alexacarehub.org,True,200,,https://www.amazon.com/dp/B0BZSZBK3T
alexacoho.com,True,,,
alexacuckooclock.com,True,200,,https://www.amazon.com/dp/B08TCL7ZLQ
alexadeals.com,True,200,,https://www.amazon.com/b?node=14552177011
alexadevday.com,True,,,
alexadevdays.com,True,,,
alexaexperts.fr,True,200,,https://developer.amazon.com/en-US/alexa
alexaexperts.it,True,200,,https://developer.amazon.com/en-US/alexa
alexafirecube.at,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafirecube.com,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafirecube.fr,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafirecube.info,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafirecube.it,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafirecube.net,True,200,,https://www.amazon.com/dp/B07KGVB6D6/?ref_=ods_dom_smp
alexafirecube.org,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafiretv.com,True,200,,https://www.amazon.com/b/ref=ods_dom_smp?node=8521791011
alexafiretvcube.at,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafiretvcube.com,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafiretvcube.fr,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafiretvcube.info,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafiretvcube.it,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafiretvcube.net,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexafiretvcube.org,True,200,,https://www.amazon.com/dp/B09BZZ3MM7?ref-ods_surl_ge
alexaforshopping.co.in,True,200,,
alexaforshopping.in,True,200,,
alexaforshopping.info,True,200,,
alexaforshopping.net,True,200,,
alexaforshopping.org,True,200,,
alexaforshoppingai.com,True,200,,
alexaforshoppingassist.com,True,200,,
alexaforshoppingassistant.com,True,200,,
alexafund.fr,True,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexafund.it,True,200,,https://developer.amazon.com/en-US/alexa/alexa-fund-venture-capital/
alexagadget.com,True,200,,
alexagadgets.com,True,200,,https://www.amazon.com/b?node=9818047011
alexaglasses.com,True,200,,https://www.amazon.com/b?ie=UTF8&node=116898096011
alexahealthai.com,True,200,,
alexahealthassistant.com,True,200,,
alexahealthcompanion.com,True,200,,
alexahome.audio,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexahomeaudio.com,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexahometheatre.com,True,200,,
alexajokes.com,True,200,,https://www.amazon.com/alexa/shop-echo-devices?ref_=nav_sul_ods_ha_echo_cp_0_2_4_2
alexamediacalai.com,True,200,,
alexamedicalassist.com,True,200,,
alexamedicalassistant.com,True,200,,
alexander-preiss.ch,True,200,200,https://www.alexander-preiss.ch/
